agency_id,route_id,route_long_name,route_short_name,route_type,bus_num,
DIMTS,1505,126STLUP,,3,126STL - Badli Village,
DIMTS,1993,818BUP,,3,818B - Jhatikra Village,
DIMTS,1862,418LNKSTLUP,,3,418LNKSTL - Kushak Nallah Depot,
DIMTS,785,127STLUP,,3,127STL - Haider Pur Village,
DIMTS,622,100LSTLUP,,3,100LSTL - Adarsh Nagar / Bharola Village,
DIMTS,749,720ADOWN,,3,720A - Dhaula Kuan,
DIMTS,2139,158UP,,3,158 - Ghoga Village,
DIMTS,252,546ADOWN,,3,546A - Uttam Nagar East Metro Station,
DIMTS,10015,544DOWN,,3,544 - I Block Sarojini Nagar,
DIMTS,1662,473STLUP,,3,473STL - Badarpur Border (T),
DIMTS,288,770BUP,,3,770B - Madhu Vihar,
DIMTS,10016,DW - 3STLDOWN,,3,DW-3STL - RS Satsang Sec 23 Dwarka,
DIMTS,162,AIRPORTEXP08AUP,,3,AIRPORTEXP08A - Najafgarh Terminal,
DIMTS,956,274ADOWN,,3,274A - Babarpur Ext / Maujpur Crossing,
DIMTS,1294,543AUP,,3,543A - Kapashera Border,
DIMTS,255,212AUP,,3,212A - Nand Nagari Terminal,
DIMTS,38,311DOWN,,3,311 - Ambedkar Nagar Terminal / DIPSAR,
DIMTS,10017,DW - 3STLUP,,3,DW-3STL - DDA Flats Sec 18B Dwarka,
DIMTS,55,507CLUP,,3,507CL - Okhla Extension (Abul Fazl Encalve),
DIMTS,1278,728EXTUP,,3,728EXT - Madhu Vihar,
DIMTS,441,469UP,,3,469 - Ambedkar Nagar Terminal / DIPSAR,
DIMTS,1328,450LSTLUP,,3,450LSTL - Sunehari Pulla Depot / Jawahar Lal Nehru Stadium Terminal,
DIMTS,471,540LSTLDOWN,,3,540LSTL - Sunehari Pulla Depot / Jawahar Lal Nehru Stadium Terminal,
DIMTS,1876,344UP,,3,344 - Kalyan Puri Terminal,
DIMTS,560,208LNKSTLDOWN,,3,208LNKSTL - Harsh Vihar Terminal,
DIMTS,10018,957DOWN,,3,957 - Shivaji Stadium Terminal,
DIMTS,1457,172LSTLDOWN,,3,172LSTL - Jain Shukla Mandir,
DIMTS,1921,405ASTLDOWN,,3,405ASTL - Kushak Nallah Depot,
DIMTS,10019,47ADOWN,,3,47A - Inder Puri JJ Colony,
DIMTS,1705,743LNKSTLUP,,3,743LNKSTL - Pochan Pur Village Dwarka Sec 23,
DIMTS,900,806UP,,3,806 - Paprawat Village,
DIMTS,360,567BLSTLDOWN,,3,567BLSTL - Ranhola II,
DIMTS,94,76UP,,3,76 - Inder Puri (Krishi Kunj),
DIMTS,1337,827ADOWN,,3,827A - Tilak Nagar Terminal,
DIMTS,1866,931STLDOWN,,3,931STL - Hari Nagar Depot,
DIMTS,1724,08DOWN,,3,08 - IGI Airport Terminal 2 (Air India Office),
DIMTS,874,906STLDOWN,,3,906STL - Bawana Sec 5 Cluster Depot G2,
DIMTS,63,588STLDOWN,,3,588STL - Dhaula Kuan ARSD College,
DIMTS,1805,922UP,,3,922 - Najafgarh Terminal,
DIMTS,1018,161UP,,3,161 - Bawana Village,
DIMTS,1863,124UP,,3,124 - Mukhmel Pur Village,
DIMTS,946,419STLUP,,3,419STL - Okhla Depot IV CWS II,
DIMTS,87,990EUP,,3,990E - Punjabi Bagh Terminal,
DIMTS,1319,825STLDOWN,,3,825STL - Dichau Kalan Depot,
DIMTS,10020,863DOWN,,3,863 - Uttam Nagar,
DIMTS,628,873DOWN,,3,873 - Tilak Nagar Terminal,
DIMTS,10021,DW - 4DOWN,,3,DW-4 - Sarai Kale Khan ISBT,
DIMTS,1102,183STLDOWN,,3,183STL - Rani Khera Depot 2,
DIMTS,1460,260UP,,3,260 - C 4 Yamuna Vihar,
DIMTS,544,221LNKSTLDOWN,,3,221LNKSTL - New Seema Puri Depot Cluster,
DIMTS,1333,114CSTLDOWN,,3,114CSTL - JJ Colony Bawana Road,
DIMTS,1983,953STLDOWN,,3,953STL - R-Block Rajendra Nagar,
DIMTS,1518,143DOWN,,3,143 - Anand Vihar ISBT Terminal,
DIMTS,1650,83STLUP,,3,83STL - Hari Nagar Shaheed Pawan Sahni Chowk,
DIMTS,1413,518AUP,,3,518A - Uttam Nagar East Metro Station,
DIMTS,1249,887UP,,3,887 - Ghuman Hera Village,
DIMTS,1023,611BDOWN,,3,611B - Mayur Vihar Phase III (T) Paper Market,
DIMTS,62,743LNKSTLDOWN,,3,743LNKSTL - Dichau Kalan Depot,
DIMTS,1379,153DOWN,,3,153 - Mukherji Nagar Baandh,
DIMTS,10022,450UP,,3,450 - Scindia House,
DIMTS,1100,418AUP,,3,418A - Lodhi Hotel,
DIMTS,566,171ADOWN,,3,171A - GTK Depot,
DIMTS,1056,774LNKSTLUP,,3,774LNKSTL - Dichau Kalan Depot,
DIMTS,316,826LINKSTLUP,,3,826LINKSTL - Ch Brahm Parkash Ayurvedic Hospital,
DIMTS,408,776STLUP,,3,776STL - Uttam Nagar East Metro Station,
DIMTS,10023,S - 1DOWN,,3,S-1 - Tilak Nagar Terminal,
DIMTS,720,706DOWN,,3,706 - Mori Gate Terminal,
DIMTS,977,316ADOWN,,3,316A - Karampura Terminal,
DIMTS,1241,981STLUP,,3,981STL - Tikri Border Metro Station,
DIMTS,1113,964STLDOWN,,3,964STL - Ranhola II,
DIMTS,199,234AUP,,3,234A - ISBT Kashmere Gate (ORR),
DIMTS,1479,927EXTUP,,3,927EXT - Kanjhawala Depot (Narela Road),
DIMTS,10024,460DOWN,,3,460 - PS Parliament / Jantar Mantar,
DIMTS,134,751UP,,3,751 - Kamla Market / Ajmeri Gate,
DIMTS,254,380UP,,3,380 - Nand Nagari Terminal,
DIMTS,1933,518DOWN,,3,518 - Mall Road,
DIMTS,1227,433CLUP,,3,433CL - Badarpur Border (T),
DIMTS,618,235DOWN,,3,235 - Wazir Pur JJ Colony,
DIMTS,1214,729UP,,3,729 - Kapashera Border,
DIMTS,2135,425CLDOWN,,3,425CL - ISBT Kashmere Gate Terminal,
DIMTS,119,214CLUP,,3,214CL - ISBT Nityanand Marg,
DIMTS,2050,847UP,,3,847 - Uttam Nagar East Metro Station,
DIMTS,808,412DOWN,,3,412 - Nehru Place Terminal,
DIMTS,1173,702ADOWN,,3,702A - Lajpat Nagar Ring Road,
DIMTS,10025,490UP,,3,490 - Lodhi Hotel,
DIMTS,1872,129STLDOWN,,3,129STL - Rani Khera Depot 3,
DIMTS,2075,104STLUP,,3,104STL - Jharoda Village (Burari),
DIMTS,1553,17STLDOWN,,3,17STL - Rani Khera Depot 3,
DIMTS,425,703ADOWN,,3,703A - Kendriya Terminal (Pt. Pant Marg),
DIMTS,1415,827LNKSTLUP,,3,827LNKSTL - Samaspur Khalsa,
DIMTS,2094,171LSTLUP,,3,171LSTL - Bawana Sec 5 Cluster Depot G2,
DIMTS,1042,774DOWN,,3,774 - Badarpur Border (T),
DIMTS,1617,940LSTLUP,,3,940LSTL - Khera More / Ghuman Hera Crossing,
DIMTS,1596,764DOWN,,3,764 - Najafgarh Terminal,
DIMTS,732,428UP,,3,428 - Aya Nagar Terminal,
DIMTS,1581,47BCLDOWN,,3,47BCL - Inder Puri JJ Colony,
DIMTS,1831,121DOWN,,3,121 - Azadpur Terminal,
DIMTS,1016,522STLDOWN,,3,522STL - Lado Sarai Firni Road,
DIMTS,1972,623EXTDOWN,,3,623EXT - New Seema Puri Depot Cluster,
DIMTS,1511,340UP,,3,340 - New Seema Puri Depot Cluster,
DIMTS,30,131DOWN,,3,131 - Singhu Border Crossing,
DIMTS,1483,336ALNKSTLUP,,3,336ALNKSTL - New Seema Puri Depot Cluster,
DIMTS,365,764LINKSTLDOWN,,3,764LINKSTL - Kair Depot,
DIMTS,438,817EDOWN,,3,817E - Najafgarh Terminal,
DIMTS,542,539LINKSTLDOWN,,3,539LINKSTL - Mehrauli Terminal,
DIMTS,133,801DOWN,,3,801 - Inderlok Metro Station,
DIMTS,949,979DOWN,,3,979 - Kanjhawala Village,
DIMTS,571,790+825UP,,3,790+825 - Satyapuram Jharoda,
DIMTS,1356,188DOWN,,3,188 - DSIDC Office Bawana,
DIMTS,605,218UP,,3,218 - Hari Nagar Shaheed Pawan Sahni Chowk,
DIMTS,1358,47ALSTLDOWN,,3,47ALSTL - Tehkhand Depot DTC,
DIMTS,563,205LSTLDOWN2,,3,205LSTLDOWN2 - ISBT Nityanand Marg,
DIMTS,1938,138ADOWN,,3,138A - Azadpur Terminal,
DIMTS,1758,215STLDOWN,,3,215STL - Bawana Sec 6 / 7 Crossing,
DIMTS,1729,139ADOWN,,3,139A - ISBT Kashmere Gate (ORR),
DIMTS,944,751LSTLUP,,3,751LSTL - Okhla Depot IV CWS II,
DIMTS,412,114EXTDOWN,,3,114EXT - Jounti Border,
DIMTS,1860,396DOWN,,3,396 - Shahdra Border,
DIMTS,60,197STLUP,,3,197STL - Raja Pur (Prashant Vihar),
DIMTS,374,794ALINKSTLUP,,3,794ALINKSTL - Mangla Puri Terminal,
DIMTS,539,966ADOWN,,3,966A - Zakhira (Rohtak Road),
DIMTS,1693,790ADOWN,,3,790A - Kapashera Border,
DIMTS,1184,119UP,,3,119 - Bajitpur Mandir,
DIMTS,1575,540STLDOWN,,3,540STL - Okhla Depot IV CWS II,
DIMTS,641,972EXTDOWN,,3,972EXT - Bawana Soap Factory,
DIMTS,860,611BUP,,3,611B - Lajpat Nagar Ring Road,
DIMTS,10026,522AUP,,3,522A - Shivalik,
DIMTS,966,775ADOWN,,3,775A - New Delhi Railway Station Gate 2,
DIMTS,1898,216LNKSTLUP,,3,216LNKSTL - ISBT Nityanand Marg,
DIMTS,1490,172STLUP,,3,172STL - Bawana Sec 1 Cluster Depot,
DIMTS,1185,801LSTLDOWN,,3,801LSTL - Dwarka Sec 22 Cluster Depot,
DIMTS,1868,774ADOWN,,3,774A - Badarpur Border (T),
DIMTS,2066,173STLUP,,3,173STL - Kanjhawala Village,
DIMTS,10027,863UP,,3,863 - Hastsal Village,
DIMTS,1979,826UP,,3,826 - Ch Brahm Parkash Ayurvedic Hospital,
DIMTS,346,824LNKSTLDOWN,,3,824LNKSTL - Uttam Nagar,
DIMTS,17,199LSTLUP,,3,199LSTL - Bawana Sec 1 Cluster Depot,
DIMTS,1487,729DOWN,,3,729 - Mori Gate Terminal,
DIMTS,2044,818ADOWN,,3,818A - Najafgarh Terminal,
